Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,source,is_attack,attack_type
22,6,22/02/2018 10:57:10,1692719,16,16,1096,2261,272,0,68.5,81.3568272079,976,0,141.3125,302.9998281078,1983.1998104824,18.9044962572,54603.8387096774,65025.0785866995,165646,18,1691849,112789.933333333,53750.6623367386,167419,39,1692701,112846.733333333,64642.150898473,240999,18,0,0,0,0,332,332,9.4522481286,9.4522481286,0,976,101.7272727273,218.6251461874,47796.9545454545,0,0,0,1,0,0,0,0,1,104.90625,68.5,141.3125,0,0,0,0,0,0,16,1096,16,2261,14600,227,11,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
80,6,22/02/2018 11:23:11,5008209,5,3,646,364,646,0,129.2,288.899982693,364,0,121.3333333333,210.155497985,201.6689,1.5973774257,715458.428571429,1868985.63475216,4953704,16,5008209,1252052.25,2467892.7019164,4953704,386,3289,1644.5,597.5052301026,2067,1222,0,0,0,0,112,72,0.9983608911,0.5990165347,0,646,112.2222222222,233.5774913052,54558.4444444445,0,0,1,1,0,0,0,1,0,126.25,129.2,121.3333333333,0,0,0,0,0,0,5,646,3,364,8192,221,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force -Web,Thursday,True,Brute Force-Web
24260,6,22/02/2018 01:24:32,311643,6,5,3488,672,1168,0,581.3333333333,495.1907376624,560,0,134.4,239.6263758437,13348.6072204413,35.2967979387,31164.3,34298.1073985464,90249,22,311643,62328.6,67543.8210112516,151630,22,229246,57311.5,43778.3527061796,96095,15319,1,0,0,0,120,100,19.2527988756,16.043999063,0,1168,408.0,438.7884145317,192535.272727273,0,1,0,0,1,0,0,0,0,445.0909090909,581.3333333333,134.4,0,0,0,0,0,0,6,3488,5,672,256,252,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
443,6,22/02/2018 10:39:04,168,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11904.7619047619,168.0,0.0,168,168,168,168.0,0.0,168,168,0,0.0,0.0,0,0,0,0,0,0,40,0,11904.7619047619,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,63275,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
80,6,22/02/2018 12:02:37,53952065,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0370699435,53952065.0,0.0,53952065,53952065,53952065,53952065.0,0.0,53952065,53952065,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0370699435,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
53,17,22/02/2018 11:22:36,290,1,1,31,63,31,31,31.0,0.0,63,63,63.0,0.0,324137.931034483,6896.5517241379,290.0,0.0,290,290,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,3448.275862069,3448.275862069,31,63,41.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,62.5,31.0,63.0,0,0,0,0,0,0,1,31,1,63,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
443,6,22/02/2018 01:26:23,115674307,21,19,1206,5314,848,0,57.4285714286,187.4557471588,1460,0,279.6842105263,519.6667791994,56.3651528943,0.345798484,2966007.87179487,4552403.02996849,10010922,1,115674307,5783715.35,4941836.6308915,10015421,18,110220457,6123358.72222222,5021171.84457383,10022432,1,0,0,0,0,432,524,0.1815442041,0.1642542799,0,1460,159.0243902439,389.9493228488,152060.474390244,0,0,0,1,0,0,0,0,0,163.0,57.4285714286,279.6842105263,0,0,0,0,0,0,21,1206,19,5314,8192,116,15,20,15177.8333333333,12790.1851350119,55792,11438,9624346.25,1316975.91271285,10010922,5442391,Benign,Thursday,False,Normal
53,17,22/02/2018 02:27:06,1188,1,1,42,58,42,42,42.0,0.0,58,58,58.0,0.0,84175.0841750842,1683.5016835017,1188.0,0.0,1188,1188,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,841.7508417508,841.7508417508,42,58,47.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,71.0,42.0,58.0,0,0,0,0,0,0,1,42,1,58,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
443,6,22/02/2018 05:06:56,61148656,15,15,1186,5636,859,0,79.0666666667,223.2895195118,1460,0,375.7333333333,585.0628130706,111.5641854827,0.4906076758,2108574.34482759,4106541.73731448,10008273,9,61148656,4367761.14285714,5133803.67361138,10093533,260,61063252,4361660.85714286,5151695.35729106,10093578,18,0,0,0,0,312,384,0.2453038379,0.2453038379,0,1460,220.064516129,454.6177834536,206677.329032258,0,0,0,1,0,0,0,0,1,227.4,79.0666666667,375.7333333333,0,0,0,0,0,0,15,1186,15,5636,8192,116,9,20,115103.666666667,73072.8568475783,264263,85241,10007903.6666667,787.1801996154,10008273,10006298,Benign,Thursday,False,Normal
53,17,22/02/2018 05:06:55,34747,2,2,84,216,42,42,42.0,0.0,108,108,108.0,0.0,8633.8388925663,115.1178519009,11582.3333333333,11011.1059541416,22385,374,34373,34373.0,0.0,34373,34373,22759,22759.0,0.0,22759,22759,0,0,0,0,16,16,57.5589259504,57.5589259504,42,108,68.4,36.1496887953,1306.8,0,0,0,0,0,0,0,0,1,85.5,42.0,108.0,0,0,0,0,0,0,2,84,2,216,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,Thursday,False,Normal
